Version 004
Name	Provider	FE-Type	LNB	Frequency	H/V	Symbolrate	Inversion	BW(T,C)	Type	Scrambled	TS ID	Net ID	o.Net ID	Service ID	PCR-PID	PMT-PID	Video-PID	Audio-PID	AC3-PID	Teletext-PID	MHEG-5	Subtitle-PID	Key	StreamInfo	StreamInfoAC3
Kanal 7	DigiKabel TR	2	DVB-C	402012	2	6900000	0	2	1	1	112	65535	61441	53504	1131	258	1131	1132	0	0	0	0	F0010070D100046B0000	1132,Turkish		
EinsExtra	ARD	2	DVB-C	426012	2	6900000	0	2	1	0	1073	65535	1	28201	101	100	101	102	0	0	0	0	000104316E2900650000	102,German		
MDR S-ANHALT	ARD	2	DVB-C	426012	2	6900000	0	2	1	0	1073	65535	1	28229	401	2900	401	402	0	404	0	0	000104316E4501910000	402,German		
EuroNews	DigiKabel D	2	DVB-C	121012	2	6900000	0	2	1	1	10005	65535	61441	53214	1201	267	1201	1204	0	0	0	0	F0012715CFDE04B10000	1204,German		
FOX KIDS	PREMIERE	2	DVB-C	354012	2	6900000	0	2	1	1	17	65535	133	28	1279	103	1279	1280	0	0	0	0	00850011001C04FF0000	1280,German		
CLASSICA	PREMIERE	2	DVB-C	386012	2	6900000	0	2	1	1	1	65535	133	15	767	101	767	768	0	0	0	0	00850001000F02FF0000	768,German		
Eurosport	ZDFvision	2	DVB-C	394012	2	6900000	0	2	1	0	1079	65535	1	28009	410	400	410	420	0	430	0	0	000104376D69019A0000	420,German		
ZDF	ZDFvision	2	DVB-C	394012	2	6900000	0	2	1	0	1079	65535	1	28006	110	100	110	120	125	130	0	0	000104376D66006E0000	120,German	125,	
arte	ARD	2	DVB-C	410012	2	6900000	0	2	1	0	1101	65535	1	28109	401	400	401	403	0	404	0	0	0001044D6DCD01910000	402,German\403,French		
Das Erste	ARD	2	DVB-C	410012	2	6900000	0	2	1	0	1101	65535	1	28106	101	100	101	102	0	104	0	0	0001044D6DCA00650000	102,German		
hr2	ARD	2	DVB-C	410012	2	6900000	0	2	2	0	1101	65535	1	28123	3301	3300	0	3301	0	0	0	0	0001044D6DDB0CE50000	3301,German		
